SAFRA,avg(HS_CPF),avg(TEMPOCPF),avg(DISTCENTROCIDADE),avg(DISTZONARISCO),avg(QTDENDERECO),avg(QTDEMAIL),avg(QTDCELULAR),avg(CELULARPROCON),avg(QTDFONEFIXO),avg(TELFIXOPROCON),avg(TARGET),avg(INDICEEMPREGO),avg(PORTEEMPREGADOR),avg(SOCIOEMPRESA),avg(FUNCIONARIOPUBLICO),avg(SEGMENTACAO),avg(SEGMENTACAOCOBRANCA),avg(SEGMENTACAOECOM),avg(SEGMENTACAOFIN),avg(SEGMENTACAOTELECOM),avg(QTDPESSOASCASA),avg(MENORRENDACASA),avg(MAIORRENDACASA),avg(SOMARENDACASA),avg(MEDIARENDACASA),avg(MAIORIDADECASA),avg(MENORIDADECASA),avg(MEDIAIDADECASA),avg(INDICMENORDEIDADE),avg(COBRANCABAIXOCASA),avg(COBRANCAMEDIOCASA),avg(COBRANCAALTACASA),avg(SEGMENTACAOFINBAIXACASA),avg(SEGMENTACAOFINMEDIACASA),avg(SEGMENTACAOALTACASA),avg(BOLSAFAMILIACASA),avg(FUNCIONARIOPUBLICOCASA),avg(IDADEMEDIACEP),avg(PERCENTMASCCEP),avg(PERCENTFEMCEP),avg(PERCENTANALFABETOCEP),avg(PERCENTPRIMARIOCEP),avg(PERCENTFUNDAMENTALCEP),avg(PERCENTMEDIOCEP),avg(PERCENTSUPERIORCEP),avg(PERCENTMESTRADOCEP),avg(PERCENTDOUTORADOCEP),avg(PERCENTBOLSAFAMILIACEP),avg(PERCENTFUNCIONARIOPUBLICOCEP),avg(MEDIARENDACEP),avg(PIBMUNICIPIO),avg(QTDUTILITARIOMUNICIPIO),avg(QTDAUTOMOVELMUNICIPIO),avg(QTDCAMINHAOMUNICIPIO),avg(QTDCAMINHONETEMUNICIPIO),avg(QTDMOTOMUNICIPIO),avg(PERCENTPOPZONAURBANA),avg(IDHMUNICIPIO),avg(ESTIMATIVARENDA),avg(QTDDECLARACAOISENTA),avg(QTDDECLARACAO10),avg(QTDDECLARACAOREST10),avg(QTDDECLARACAOPAGAR10),avg(RESTITUICAOAGENCIAALTARENDA),avg(BOLSAFAMILIA),avg(ANOSULTIMARESTITUICAO),avg(ANOSULTIMADECLARACAO),avg(ANOSULTIMADECLARACAOPAGAR)
TREINO,191491.3493791066,-332.19693695510193,387.0508724944003,59376.169129346585,-159.14554723216986,-160.2022758055396,-159.66551970509207,-160.49809107605452,-159.112606787967,-160.48894314431115,0.14846650506927794,-159.04458685275205,-159.67584235926344,-160.41995011812975,-160.40883408799021,-160.08502272737235,-160.4744037626184,-160.30840408698205,-160.4768277234493,-160.36493979547558,-6179.782768399967,-5710.759997194693,-4158.318722357861,-2991.2499616461896,-5060.615707967511,-6163.215991128216,-6173.08085421607,-6168.766870197555,-6180.893507905268,-6180.90169151263,-6180.918369941132,-6180.919711228681,-6180.904198756021,-6180.919886560387,-6180.920267906847,-6180.846615440587,-6180.846619823879,-3006.443891662539,-3005.172123135457,-3005.3173197042156,-3063.902945134326,-3062.3486909296525,-3059.2852559185408,-3058.4393681045326,-3061.5685568885638,-3063.975098514502,-3064.0011571892574,-3035.7436825794803,-3037.8700616729275,-1177.0459237570078,21181.90114360105,-2540.3790496144893,-2318.1430575219492,-2532.1122210582143,-2496.002046997664,-2427.6337408334393,-2473.3152420235033,-2485.2609680940127,2977.429821293159,-159.436453214926,-158.86762017892602,-159.7587786393383,-160.25712394636602,-160.4961580439995,-160.46300281845717,-8285.753018992807,-6431.865323333582,-9019.5202836867
TESTE,467689.4491353749,-260.4976018217615,1453.6031928268142,58286.292269374004,-93.73833052636573,-94.7292739046896,-94.0277533980122,-95.10819555471215,-93.6302298550656,-95.10002609293831,0.03987000972554973,-93.60858220461608,-94.29217923476529,-95.02327964513604,-95.02096448988306,-94.37267357734184,-95.06810256896838,-94.88598334796119,-95.06043124510758,-94.71731859477667,-6278.538055364471,-5837.528386744787,-4338.4530255948,-3209.0861351614203,-5213.354342102142,-6261.135180397087,-6270.943122138672,-6266.6732310173875,-6279.635780534668,-6279.630604644543,-6279.655345494224,-6279.655720283701,-6279.6250681974525,-6279.657091349005,-6279.657532556871,-6279.574922314207,-6279.582223592761,-2461.050691462865,-2459.686045022179,-2459.604877007377,-2532.493664160163,-2530.824000759067,-2527.617449059468,-2526.721412814005,-2530.081101596413,-2532.577042958465,-2532.603539151268,-2492.0655834143795,-2494.7974523803878,-547.9532699195863,23036.990179566856,-1918.451488483526,-1690.883075171383,-1910.0853713499537,-1872.8439357639302,-1800.127869630192,-1845.8396707545603,-1858.9047228218326,2875.3469411960054,-94.07621510069502,-93.6125388428968,-94.42713665583415,-94.8936641601632,-95.1075503475105,-95.06626657494604,-8414.454624380292,-6629.920003795337,-9105.655606423607
